concept	dialect	spelling	implementation	status	notes
gamma_ln	vensim	GAMMA LN	sde/c	yes	
gamma_ln	vensim	GAMMA LN	sde/js	no	
get_data_between_times	vensim	GET DATA BETWEEN TIMES	sde/c	yes	
get_data_between_times	vensim	GET DATA BETWEEN TIMES	sde/js	yes	
get_direct_constants	vensim	GET DIRECT CONSTANTS	sde/c	yes	
get_direct_constants	vensim	GET DIRECT CONSTANTS	sde/js	yes	
get_direct_data	vensim	GET DIRECT DATA	sde/c	yes	
get_direct_data	vensim	GET DIRECT DATA	sde/js	yes	
get_direct_lookups	vensim	GET DIRECT LOOKUPS	sde/c	yes	
get_direct_lookups	vensim	GET DIRECT LOOKUPS	sde/js	yes	
get_direct_subscript	vensim	GET DIRECT SUBSCRIPT	sde/c	partial	csv only, no xlsx
get_direct_subscript	vensim	GET DIRECT SUBSCRIPT	sde/js	partial	csv only, no xlsx
get_xls_constants	vensim	GET XLS CONSTANTS	sde/c	yes	synonym for GET DIRECT CONSTANTS
get_xls_constants	vensim	GET XLS CONSTANTS	sde/js	yes	synonym for GET DIRECT CONSTANTS
get_xls_data	vensim	GET XLS DATA	sde/c	yes	synonym for GET DIRECT DATA
get_xls_data	vensim	GET XLS DATA	sde/js	yes	synonym for GET DIRECT DATA
get_xls_lookups	vensim	GET XLS LOOKUPS	sde/c	yes	synonym for GET DIRECT LOOKUPS
get_xls_lookups	vensim	GET XLS LOOKUPS	sde/js	yes	synonym for GET DIRECT LOOKUPS
if_then_else	vensim	IF THEN ELSE	sde/c	yes	
if_then_else	vensim	IF THEN ELSE	sde/js	yes	
init	vensim	INITIAL	sde/c	yes	
init	vensim	INITIAL	sde/js	yes	
integ	vensim	INTEG	sde/c	yes	
integ	vensim	INTEG	sde/js	yes	
int	vensim	INTEGER	sde/c	yes	
int	vensim	INTEGER	sde/js	yes	
invert_matrix	vensim	INVERT MATRIX	sde/c	yes	
invert_matrix	vensim	INVERT MATRIX	sde/js	yes	
ln	vensim	LN	sde/c	yes	
ln	vensim	LN	sde/js	yes	
lookup_backward	vensim	LOOKUP BACKWARD	sde/c	yes	
lookup_backward	vensim	LOOKUP BACKWARD	sde/js	yes	
lookup_forward	vensim	LOOKUP FORWARD	sde/c	yes	
lookup_forward	vensim	LOOKUP FORWARD	sde/js	yes	
lookupinv	vensim	LOOKUP INVERT	sde/c	yes	
lookupinv	vensim	LOOKUP INVERT	sde/js	yes	
arraymax	vensim	MAX	sde/c	yes	
arraymax	vensim	MAX	sde/js	yes	
arraymin	vensim	MIN	sde/c	yes	
arraymin	vensim	MIN	sde/js	yes	
modulo	vensim	MODULO	sde/c	yes	
modulo	vensim	MODULO	sde/js	yes	
npv	vensim	NPV	sde/c	yes	
npv	vensim	NPV	sde/js	yes	
power	vensim	POWER	sde/c	yes	
power	vensim	POWER	sde/js	yes	
pulse_x	vensim	PULSE	sde/c	yes	
pulse_x	vensim	PULSE	sde/js	yes	
pulse_train	vensim	PULSE TRAIN	sde/c	yes	
pulse_train	vensim	PULSE TRAIN	sde/js	yes	
quantum	vensim	QUANTUM	sde/c	yes	
quantum	vensim	QUANTUM	sde/js	yes	
ramp_x	vensim	RAMP	sde/c	yes	
ramp_x	vensim	RAMP	sde/js	yes	
sample_if_true	vensim	SAMPLE IF TRUE	sde/c	yes	
sample_if_true	vensim	SAMPLE IF TRUE	sde/js	yes	
sin	vensim	SIN	sde/c	yes	
sin	vensim	SIN	sde/js	yes	
smth1	vensim	SMOOTH	sde/c	yes	
smth1	vensim	SMOOTH	sde/js	yes	
smth3	vensim	SMOOTH3	sde/c	yes	
smth3	vensim	SMOOTH3	sde/js	yes	
smth3	vensim	SMOOTH3I	sde/c	yes	
smth3	vensim	SMOOTH3I	sde/js	yes	
smth1	vensim	SMOOTHI	sde/c	yes	
smth1	vensim	SMOOTHI	sde/js	yes	
sqrt	vensim	SQRT	sde/c	yes	
sqrt	vensim	SQRT	sde/js	yes	
step	vensim	STEP	sde/c	yes	
step	vensim	STEP	sde/js	yes	
supply_at_price	vensim	SUPPLY AT PRICE	sde/c	yes	
supply_at_price	vensim	SUPPLY AT PRICE	sde/js	no	
tan	vensim	TAN	sde/c	yes	
tan	vensim	TAN	sde/js	yes	
trend	vensim	TREND	sde/c	yes	
trend	vensim	TREND	sde/js	yes	
vector_elm_map	vensim	VECTOR ELM MAP	sde/c	yes	
vector_elm_map	vensim	VECTOR ELM MAP	sde/js	yes	
vector_select	vensim	VECTOR SELECT	sde/c	partial	only numerical_action 0 (sum) and 3 (max)
vector_select	vensim	VECTOR SELECT	sde/js	partial	only numerical_action 0 (sum) and 3 (max)
vector_sort_order	vensim	VECTOR SORT ORDER	sde/c	yes	
vector_sort_order	vensim	VECTOR SORT ORDER	sde/js	yes	
arraymax	vensim	VMAX	sde/c	yes	
arraymax	vensim	VMAX	sde/js	yes	
arraymin	vensim	VMIN	sde/c	yes	
arraymin	vensim	VMIN	sde/js	yes	
with_lookup	vensim	WITH LOOKUP	sde/c	yes	
with_lookup	vensim	WITH LOOKUP	sde/js	yes	
safediv	vensim	XIDZ	sde/c	yes	
safediv	vensim	XIDZ	sde/js	yes	
safediv	vensim	ZIDZ	sde/c	yes	
safediv	vensim	ZIDZ	sde/js	yes	
