concept	xmile std	stella	vensim	pysd	sde	xmutil
get_xls_data			GET XLS DATA		C+JS	
get_xls_lookups			GET XLS LOOKUPS		C+JS	
history		HISTORY				
if_then_else			IF THEN ELSE		C+JS	
inf	INF				no	
init	INIT		ACTIVE INITIAL | INITIAL | REINITIAL	InitialStructure	C+JS	both ways
initial_time	STARTTIME		INITIAL TIME		C+JS	to Vensim (coins INITIAL_TIME)
int	INT		INTEGER		C+JS	both ways
integ		INTEG	INTEG	IntegStructure	C+JS	to Vensim
interpolate		INTERPOLATE				
invert_matrix			INVERT MATRIX		C+JS	
invnorm		INVNORM				
isnan		ISNAN				
ln	LN		LN		C+JS	to XMILE
log10	LOG10		LOG		no	
logistic		LOGISTIC				
logisticbount		LOGISTICBOUNT				
lognormal	LOGNORMAL				no	
lookup		LOOKUP	LOOKUP | LOOKUP EXTRAPOLATE		C+JS	both ways
lookup_backward			LOOKUP BACKWARD		C+JS	
lookup_forward			LOOKUP FORWARD		C+JS	
lookuparea		LOOKUPAREA	LOOKUP AREA			to XMILE
lookupinv		LOOKUPINV	LOOKUP INVERT		C+JS	both ways
lookupmax		LOOKUPMAX				
lookupmean		LOOKUPMEAN				
lookupmin		LOOKUPMIN				
lookuprandom		LOOKUPRANDOM				
loopscore		LOOPSCORE				
matrixinvert		MATRIXINVERT				
maxsoft		MAXSOFT				
mean		MEAN			no	
minsoft		MINSOFT				
mlpann		MLPANN				
mod		MOD				
modulo			MODULO		C+JS	to XMILE (coins MODULO)
montecarlo		MONTECARLO				
nan		NAN	A FUNCTION OF			to XMILE
negbinomial		NEGBINOMIAL				
normal	NORMAL		RANDOM NORMAL		no	to Vensim
normalcdf		NORMALCDF				
normalpink		NORMALPINK	RANDOM PINK NOISE			both ways
npv		NPV	NPV		C+JS	to XMILE
ostate		OSTATE				
pareto		PARETO				
pathscore		PATHSCORE				
percent		PERCENT				
percentile		PERCENTILE				
permutations		PERMUTATIONS				
pi	PI				no	
pmt		PMT				
poisson	POISSON				no	
power			POWER		C+JS	
previous	PREVIOUS				no	
proctime		PROCTIME				
pulse	PULSE				no	
pulse_train			PULSE TRAIN		C+JS	
pulse_x			PULSE		C+JS	
pv		PV				
quantum			QUANTUM		C+JS	
ramp	RAMP				C+JS	
ramp_x			RAMP		C+JS	
random	RANDOM				no	
rank		RANK			no	
rework		REWORK				
round		ROUND				
runcount		RUNCOUNT				
runcum		RUNCUM				
runmax		RUNMAX				
runmean		RUNMEAN				
runmin		RUNMIN				
safediv		SAFEDIV	XIDZ | ZIDZ	CallStructure(xidz) | CallStructure(zidz)	C+JS	both ways
sample_if_true			SAMPLE IF TRUE		C+JS	
self	SELF				no	
sensiruncount		SENSIRUNCOUNT				
shortestpath		SHORTESTPATH				
sin	SIN		SIN		C+JS	to XMILE
size		SIZE	ELMCOUNT		C+JS	both ways
smth1	SMTH1		SMOOTH | SMOOTHI	SmoothStructure(order=1)	C+JS	both ways
smth3	SMTH3		SMOOTH3 | SMOOTH3I	SmoothStructure(order=3)	C+JS	both ways
smthn	SMTHN		SMOOTH N	SmoothNStructure	no	both ways
softwareversion		SOFTWAREVERSION				
sqrt	SQRT		SQRT		C+JS	to XMILE
stddev		STDDEV			no	
step			STEP		C+JS	
step_x	STEP				C+JS	
supply_at_price			SUPPLY AT PRICE		C only	
systemchange		SYSTEMCHANGE				
tan	TAN		TAN		C+JS	to XMILE
throughput		THROUGHPUT				
time	TIME		Time		C+JS	to Vensim
time_base			TIME BASE			to XMILE (coins TIME_BASE)
traversalcost		TRAVERSALCOST				
trend	TREND		TREND	TrendStructure	C+JS	to XMILE
triangular		TRIANGULAR				
uniform		UNIFORM	RANDOM 0 1 | RANDOM UNIFORM			both ways
vector_elm_map			VECTOR ELM MAP		C+JS	to XMILE (coins VECTOR ELM MAP)
vector_reorder			VECTOR REORDER			to XMILE (coins VECTOR_REORDER)
vector_select			VECTOR SELECT		partial	to XMILE (coins VECTOR SELECT)
vector_sort_order			VECTOR SORT ORDER		C+JS	to XMILE (coins VECTOR SORT ORDER)
weibull		WEIBULL				
with_lookup			WITH LOOKUP		C+JS	to XMILE (coins WITH_LOOKUP)
